"NAICS","Illustrative Examples"
"423810","Forestry machinery and equipment merchant wholesalers"
"423810","Mining cranes merchant wholesalers"
"423810","Road construction and maintenance machinery merchant wholesalers"
"423810","Scaffolding merchant wholesalers"
"423820","Milking machinery and equipment merchant wholesalers"
"423820","Animal feeders merchant wholesalers"
"423820","Harvesting machinery and equipment merchant wholesalers"
"423820","Planting machinery and equipment merchant wholesalers"
"423820","Lawnmowers merchant wholesalers"
"423830","Food-processing machinery and equipment merchant wholesalers"
"423830","Materials handling machinery and equipment merchant wholesalers"
"423830","Metalworking machinery and equipment merchant wholesalers"
"423830","Oil well machinery and equipment merchant wholesalers"
"423830","Fluid power transmission equipment merchant wholesalers"
"423840","Industrial containers merchant wholesalers"
"423840","Industrial diamonds merchant wholesalers"
"423840","Printing inks merchant wholesalers"
"423840","Welding supplies (except welding gases) merchant wholesalers"
"423840","Refractory materials (e.g., brick, blocks, shapes) merchant wholesalers"
"423850","Amusement park equipment merchant wholesalers"
"423850","Beauty parlor equipment and supplies merchant wholesalers"
"423850","Car wash equipment and supplies merchant wholesalers"
"423850","Drycleaning equipment and supplies merchant wholesalers"
"423850","Janitorial equipment and supplies merchant wholesalers"
"423850","Undertakers' equipment and supplies merchant wholesalers"
"423850","Upholsterers' equipment and supplies (except fabrics) merchant wholesalers"
"423860","Aircraft merchant wholesalers"
"423860","Motorized passenger golf carts merchant wholesalers"
"423860","Railroad cars merchant wholesalers"
"423860","Ships merchant wholesalers"
"423990","Musical instruments merchant wholesalers"
"423990","Phonograph records merchant wholesalers"
"423990","Prerecorded audio and video tapes and discs merchant wholesalers"
"423990","Timber and timber products (except lumber) merchant wholesalers"
"423990","Prerecorded compact discs (CDs) and digital video discs (DVDs) merchant wholesalers"
"423990","Prerecorded audio and video cassettes merchant wholesalers"
"424110","Bulk envelope paper merchant wholesalers"
"424110","Bulk paper (e.g., fine, printing, writing) merchant wholesalers"
"424110","Bulk groundwood paper merchant wholesalers"
"424120","Computer paper supplies merchant wholesalers"
"424120","File cards and folders merchant wholesalers"
"424120","Greeting cards merchant wholesalers"
"424120","Pencils merchant wholesalers"
"424120","Photocopy supplies merchant wholesalers"
"424120","Social stationery merchant wholesalers"
"424120","Typewriter paper merchant wholesalers"
"424120","Envelope merchant wholesalers"
"424120","Writing pens merchant wholesalers"
"424130","Paper bags merchant wholesalers"
"424130","Plastics bags merchant wholesalers"
"424130","Sanitary paper products merchant wholesalers"
"424130","Disposable plastics eating utensils merchant wholesalers"
"424130","Paper napkins merchant wholesalers"
"424130","Paper and disposable plastics dishes merchant wholesalers"
"424130","Paperboard and disposable plastics boxes merchant wholesalers"
"424130","Paper and disposable plastics shipping supplies merchant wholesalers"
"424210","Antibiotics merchant wholesalers"
"424210","Blood derivatives merchant wholesalers"
"424210","Botanicals merchant wholesalers"
"424210","Cosmetics merchant wholesalers"
"424210","Endocrine substances merchant wholesalers"
"424210","Vaccines merchant wholesalers"
"424210","Vitamins merchant wholesalers"
"424210","In-vitro and in-vivo diagnostics merchant wholesalers"
"424320","Men's and boys' hosiery merchant wholesalers"
"424320","Men's and boys' suits merchant wholesalers"
"424320","Men's and boys' nightwear merchant wholesalers"
"424320","Men's and boys' underwear merchant wholesalers"
"424320","Men's and boys' sportswear merchant wholesalers"
"424320","Men's and boys' work clothing merchant wholesalers"
"424330","Dresses merchant wholesalers"
"424330","Fur clothing merchant wholesalers"
"424330","Lingerie merchant wholesalers"
"424330","Millinery merchant wholesalers"
"424330","Women's, children's, and infants' hosiery merchant wholesalers"
"424420","Frozen bakery products merchant wholesalers"
"424420","Packaged frozen fish merchant wholesalers"
"424420","Frozen juices merchant wholesalers"
"424420","Packaged frozen meats merchant wholesalers"
"424420","Frozen vegetables merchant wholesalers"
"424420","Packaged frozen poultry merchant wholesalers"
"424430","Butter merchant wholesalers"
"424430","Cheese merchant wholesalers"
"424430","Cream merchant wholesalers"
"424430","Ice cream and ices merchant wholesalers"
"424430","Yogurt merchant wholesalers"
"424430","Fluid milk (except canned) merchant wholesalers"
"424490","Bakery products (except frozen) merchant wholesalers"
"424490","Soft drinks merchant wholesalers"
"424490","Canned seafood merchant wholesalers"
"424490","Canned fish merchant wholesalers"
"424490","Canned vegetables merchant wholesalers"
"424490","Canned fruits merchant wholesalers"
"424490","Dried milk merchant wholesalers"
"424490","Canned meats merchant wholesalers"
"424490","Canned milk merchant wholesalers"
"424520","Cattle merchant wholesalers"
"424520","Goats merchant wholesalers"
"424520","Hogs merchant wholesalers"
"424520","Sheep merchant wholesalers"
"424590","Chicks merchant wholesalers"
"424590","Hides merchant wholesalers"
"424590","Horses merchant wholesalers"
"424590","Leaf tobacco merchant wholesalers"
"424590","Mules merchant wholesalers"
"424590","Raw cotton merchant wholesalers"
"424590","Raw pelts merchant wholesalers"
"424690","Acids merchant wholesalers"
"424690","Dyestuffs merchant wholesalers"
"424690","Industrial chemicals merchant wholesalers"
"424690","Industrial salts merchant wholesalers"
"424690","Rosins merchant wholesalers"
"424690","Turpentine merchant wholesalers"
"424690","Automotive chemicals (except lubricating oils and greases) merchant wholesalers"
"424690","Explosives (except ammunition and fireworks) merchant wholesalers"
"424720","Fuel oil merchant wholesalers (except bulk stations, terminals)"
"424720","Gasoline merchant wholesalers (except bulk stations, terminals)"
"424720","Bottled liquid petroleum gas merchant wholesalers"
"424720","Lubricating oil and grease merchant wholesalers (except bulk stations, terminals)"
"424990","Artists' supplies merchant wholesalers"
"424990","Burlap merchant wholesalers"
"424990","Pet supplies (except pet food) merchant wholesalers"
"424990","Statuary goods (except religious) merchant wholesalers"
"424990","Textile bags merchant wholesalers"
"424990","Christmas trees merchant wholesalers"
"424990","Industrial yarn merchant wholesalers"
"425120","Independent sales representatives"
"425120","Manufacturers sales representatives"
"441110","Automobile dealers, new only, or new and used"
"441110","Light utility truck dealers, new only, or new and used"
"441120","Antique auto dealers"
"441120","Automobile dealers, used only"
"441120","Light truck dealers, used only"
"441210","Motor home dealers"
"441210","Recreational vehicle (RV) dealers"
"441210","Recreational vehicle (RV) parts and accessories stores"
"441210","Travel trailer dealers"
"44122","Aircraft dealers"
"44122","All-terrain vehicle (ATV) dealers"
"44122","Boat dealers, new and used"
"44122","Motorcycle dealers"
"44122","Utility trailer dealers"
"441222","Marine supply dealers"
"441222","Outboard motor dealers"
"441222","Boat dealers (e.g., powerboats, rowboats, sailboats)"
"441228","Aircraft dealers"
"441228","All-terrain vehicle (ATV) dealers"
"441228","Moped dealers"
"441228","Motorcycle dealers"
"441228","Motorcycle parts and accessories dealers"
"441228","Personal watercraft dealers"
"441228","Snowmobile dealers"
"441228","Utility trailer dealers"
"441228","Powered golf cart dealers"
"441310","Automotive parts and supply stores"
"441310","Speed shops"
"441310","Truck cap stores"
"441310","Used automotive parts stores"
"441310","Automotive stereo stores"
"44229","Bath shops"
"44229","Chinaware stores"
"44229","Glassware stores"
"44229","Kitchenware stores"
"44229","Window treatment stores"
"442299","Bath shops"
"442299","Chinaware stores"
"442299","Glassware stores"
"442299","Kitchenware stores"
"442299","Linen stores"
"442299","Wood-burning stove stores"
"442299","Electric lamp shops"
"442299","Picture frame stores"
"442299","Houseware stores"
"44314","Appliance stores, household-type"
"44314","Consumer-type electronic stores (e.g., televisions, computers, cameras)"
"443142","Camera shops, photographic"
"443142","Computer stores"
"443142","Consumer-type electronic stores (e.g., televisions, computers, cameras)"
"443142","Radio and television stores"
"443142","Stereo stores (except automotive)"
"444190","Electrical supply stores"
"444190","Fencing dealers"
"444190","Floor covering stores, wood or ceramic tile only"
"444190","Garage door dealers"
"444190","Glass stores"
"444190","Kitchen cabinet (except custom) stores"
"444190","Plumbing supply stores"
"444190","Prefabricated building dealers"
"444190","Lumber yards, retail"
"445210","Baked ham stores"
"445210","Butcher shops"
"445210","Meat markets"
"445210","Poultry dealers"
"445210","Frozen meat shops"
"44529","Coffee and tea (i.e., packaged) stores"
"44529","Dairy product stores"
"44529","Gourmet food stores"
"44529","Nut (i.e., packaged) stores"
"44529","Baked goods stores (except immediate consumption)"
"44529","Confectionery (i.e., packaged) stores"
"445299","Coffee and tea (i.e., packaged) stores"
"445299","Dairy product stores"
"445299","Gourmet food stores"
"445299","Spice stores"
"445299","Soft drink (i.e., bottled) stores"
"445299","Water (i.e., bottled) stores"
"44619","Convalescent supply stores"
"44619","Food (i.e., health) supplement stores"
"44619","Hearing aid stores"
"44619","Prosthetic stores"
"44619","Sick room supply stores"
"446199","Convalescent supply stores"
"446199","Hearing aid stores"
"446199","Prosthetic stores"
"446199","Sick room supply stores"
"447190","Gasoline stations without convenience stores"
"447190","Marine service stations"
"447190","Truck stops"
"448150","Costume jewelry stores"
"448150","Neckwear stores"
"448150","Wig and hairpiece stores"
"448190","Fur apparel stores"
"448190","Hosiery stores"
"448190","Leather coat stores"
"448190","Lingerie stores"
"448190","Swimwear stores"
"448190","Bridal gown (except custom) shops"
"448190","Costume shops"
"448190","Uniform (except athletic) stores"
"451110","Bicycle (except motorized) shops"
"451110","Bowling equipment and supply stores"
"451110","Diving equipment stores"
"451110","Exercise equipment stores"
"451110","Golf pro shops"
"451110","Saddlery stores"
"451110","Athletic uniform supply stores"
"451110","Fishing supply stores"
"451110","Sporting goods (e.g., scuba, skiing, outdoor) stores"
"451110","Sporting gun shops"
"451130","Fabric shops"
"451130","Needlecraft sewing supply stores"
"451130","Sewing supply stores"
"451130","Upholstery materials stores"
"451140","Musical instrument stores"
"451140","Piano stores"
"451140","Sheet music stores"
"45231","Dollar stores"
"45231","General merchandise catalog showrooms (except catalog mail-order)"
"45231","General merchandise trading posts"
"45231","General stores"
"45231","Home and auto supply stores"
"45231","Superstores (i.e., food and general merchandise)"
"45231","Variety stores"
"45231","Warehouse clubs (i.e., food and general merchandise)"
"452319","Dollar stores"
"452319","General merchandise catalog showrooms (except catalog mail-order)"
"452319","General merchandise trading posts"
"452319","General stores"
"452319","Home and auto supply stores"
"452319","Variety stores"
"453220","Balloon shops"
"453220","Christmas stores"
"453220","Curio shops"
"453220","Gift shops"
"453220","Greeting card shops"
"453220","Novelty shops"
"453220","Souvenir shops"
"453310","Antique shops"
"453310","Used household-type appliance stores"
"453310","Used book stores"
"453310","Used merchandise thrift shops"
"453310","Used clothing stores"
"453310","Used sporting goods stores"
"45399","Art supply stores"
"45399","Cigar stores"
"45399","Tobacco stores"
"45399","Swimming pool supply stores, new"
"45399","Cemetery memorial (e.g., markers, headstones, vaults) dealers"
"453991","Cigar stores"
"453991","Smokers' supply stores"
"453991","Tobacco stores"
"453991","Cigarette stands (i.e., permanent)"
"453998","Art supply stores"
"453998","Candle shops"
"453998","Flower shops, artificial or dried"
"453998","Home security equipment stores"
"453998","Hot tub stores"
"453998","Swimming pool supply stores"
"453998","General merchandise auction houses"
"453998","Cemetery memorial (e.g., headstones, markers, vaults) dealers"
"453998","Collectors' items (e.g., autograph, coin, card, stamp) shops"
"453998","Fireworks shops (permanent location)"
"453998","Trophy (e.g., awards and plaques) shops"
"454110","Catalog (i.e., order-taking) offices of mail-order houses"
"454110","Collectors' items, mail-order houses"
"454110","Computer software, mail-order houses"
"454110","Home shopping television orders"
"454110","Internet auction sites, retail"
"454110","Mail-order book clubs (not publishing)"
"454110","Mail-order houses"
"454110","Web retailers"
"454390","Direct selling bottled water providers"
"454390","Direct selling home delivery newspaper routes"
"454390","Direct selling coffee-break service providers"
"454390","Direct selling locker meat provisioners"
"454390","Direct selling frozen food and freezer meal plan providers"
"454390","Direct selling party plan merchandisers"
"48111","Air commuter carriers, scheduled"
"48111","Scheduled air passenger carriers"
"48111","Scheduled air cargo carriers (except air couriers)"
"48111","Scheduled helicopter passenger carriers"
"48121","Air taxi services"
"48121","Nonscheduled air freight transportation services"
"48121","Aircraft charter services"
"48121","Nonscheduled air passenger transportation services"
"481219","Aircraft charter services (i.e., general purpose aircraft used for a variety of specialty air and flying services)"
"481219","Aviation clubs providing a variety of air transportation activities to the general public"
"484220","Local agricultural products trucking"
"484220","Local dump trucking (e.g., gravel, sand, top-soil)"
"484220","Local boat hauling"
"484220","Local livestock trucking"
"484220","Local bulk liquids trucking"
"484230","Long-distance automobile carrier trucking"
"484230","Long-distance refrigerated product trucking"
"484230","Long-distance bulk liquid trucking"
"484230","Long-distance trucking of waste"
"484230","Long-distance hazardous material trucking"
"485119","Commuter cable car systems (i.e., stand-alone)"
"485119","Light rail systems (i.e., stand-alone)"
"485119","Commuter tramway systems (i.e., stand-alone)"
"485119","Monorail transit systems (i.e., stand-alone)"
"485119","Commuter trolley systems (i.e., stand-alone)"
"487210","Airboat (i.e., swamp buggy) operation"
"487210","Dinner cruises"
"487210","Excursion boat operation"
"487210","Harbor sightseeing tours"
"487210","Charter fishing boat services"
"487990","Glider excursions"
"487990","Aerial cable cars, scenic and sightseeing operation"
"487990","Helicopter rides, scenic and sightseeing operation"
"487990","Aerial tramways, scenic and sightseeing operation"
"487990","Hot air balloon rides, scenic and sightseeing operation"
"488190","Aircraft testing services"
"488190","Aircraft maintenance and repair services (except factory conversions, overhauls, rebuilding)"
"488330","Docking and undocking marine vessel services"
"488330","Marine vessel traffic reporting services"
"488330","Piloting services, water transportation"
"488330","Tugboat services, harbor operation"
"488390","Marine cargo checkers and surveyors"
"488390","Floating drydocks (i.e., maintenance and routine repairs for ships)"
"488390","Ship scaling services"
"488490","Bridge, tunnel, and highway operations"
"488490","Driving services (e.g., automobile, truck delivery)"
"488490","Pilot car services (i.e., wide load warning services)"
"488490","Truck or weighing station operations"
"48899","Arrangement of vanpools or carpools"
"48899","Stockyards (i.e., not for fattening or selling livestock)"
"48899","Independent pipeline terminal facilities"
"488999","Arrangement of vanpools or carpools"
"488999","Stockyards (i.e., not for fattening or selling livestock)"
"488999","Independent pipeline terminal facilities"
"492110","Air courier services, except establishments operating under a universal service obligation"
"492110","Express delivery services, except establishments operating under a universal service obligation"
"492110","Courier services (i.e., intercity network), except establishments operating under a universal service obligation"
"492210","Grocery delivery services (i.e., independent service from grocery store)"
"492210","Alcoholic beverages delivery services"
"492210","Letters, documents, or small parcels local delivery services"
"492210","Restaurant meals delivery services (i.e., independent service from restaurant)"
"493190","Bulk petroleum storage"
"493190","Document storage and warehousing"
"493190","Lumber storage terminals"
"493190","Whiskey warehousing"
"511120","Comic book publishers (except exclusive Internet publishing)"
"511120","Magazine publishers (except exclusive Internet publishing)"
"511120","Newsletter publishers (except exclusive Internet publishing)"
"511120","Scholarly journal publishers (except exclusive Internet publishing)"
"511120","Trade journal publishers (except exclusive Internet publishing)"
"511120","Radio and television guide publishers (except exclusive Internet publishing)"
"511130","Atlas publishers (except exclusive Internet publishing)"
"511130","Encyclopedia publishers (except exclusive Internet publishing)"
"511130","Map publishers (except exclusive Internet publishing)"
"511130","Religious book publishers (except exclusive Internet publishing)"
"511130","School textbook publishers (except exclusive Internet publishing)"
"511130","Technical manual publishers (except exclusive Internet publishing)"
"511130","Travel guide book publishers (except exclusive Internet publishing)"
"511130","Book publishers (except exclusive Internet publishing)"
"511140","Business directory publishers (except exclusive Internet publishing)"
"511140","Directory publishers (except exclusive Internet publishing)"
"511140","Mailing list publishers (except exclusive Internet publishing)"
"511140","Telephone directory publishers (except exclusive Internet publishing)"
"51119","Calendar publishers (except exclusive Internet publishing)"
"51119","Greeting card publishers (except exclusive Internet publishing)"
"51119","Art print publishers (except exclusive Internet publishing)"
"511199","Calendar publishers (except exclusive Internet publishing)"
"511199","Art print publishers (except exclusive Internet publishing)"
"51219","Motion picture film laboratories"
"51219","Stock footage film libraries"
"51219","Teleproduction services"
"51219","Postproduction facilities"
"512199","Motion picture film laboratories"
"512199","Stock footage film libraries"
"512199","Film preservation services"
"51731","Broadband Internet service providers, wired (e.g., cable, DSL)"
"51731","Cable television distribution services"
"51731","Cellular telephone services"
"51731","Direct-to-home satellite system (DTH) services"
"51731","Satellite television distribution systems"
"51731","Telecommunications carriers, wired"
"51731","VoIP service providers, using own operated wired telecommunications infrastructure"
"51731","Wireless Internet service providers, except satellite"
"51731","Wireless telecommunications carriers, except satellite"
"51731","Wireless telephone communications carriers, except satellite"
"517311","Broadband Internet service providers, wired (e.g., cable, DSL)"
"517311","Cable television distribution services"
"517311","Closed circuit television (CCTV) services"
"517311","Direct-to-home satellite system (DTH) services"
"517311","Local telephone carriers, wired"
"517311","Long-distance telephone carriers, wired"
"517311","Multichannel multipoint distribution services (MMDS)"
"517311","Satellite television distribution systems"
"517311","Telecommunications carriers, wired"
"517311","VoIP service providers, using own operated wired telecommunications infrastructure"
"517312","Cellular telephone services"
"517312","Paging services, except satellite"
"517312","Wireless Internet service providers, except satellite"
"517312","Wireless telephone communications carriers, except satellite"
"517919","Satellite tracking stations"
"517919","VoIP service providers, using client-supplied telecommunications connections"
"517919","Dial-up Internet service providers"
"517919","Internet service providers using client-supplied telecommunications connections (e.g., dial-up ISPs)"
"518210","Application hosting"
"518210","Computer data storage services"
"518210","Computer input preparation services"
"518210","Computer time rental"
"518210","Optical scanning services"
"518210","Web hosting"
"518210","Application service providers"
"518210","Video and audio streaming service"
"518210","Microfilm imaging services"
"519130","Internet book publishers"
"519130","Internet entertainment sites"
"519130","Internet game sites"
"519130","Internet news publishers"
"519130","Internet periodical publishers"
"519130","Internet radio stations"
"519130","Internet search portals"
"519130","Internet search web sites"
"519130","Internet sports sites"
"519130","Internet video broadcast sites"
"519130","Web search portals"
"519190","News clipping services"
"519190","Stock photo agencies"
"519190","Telephone-based information services"
"52229","Consumer finance companies (i.e., unsecured cash loans)"
"52229","International trade financing"
"52229","Mortgage companies"
"52229","Secondary market financing"
"522291","Finance companies (i.e., unsecured cash loans)"
"522291","Personal credit institutions (i.e., unsecured cash loans)"
"522291","Loan companies (i.e., consumer, personal, student, small)"
"522291","Student loans companies"
"522292","Home equity credit lending"
"522292","Mortgage banking (i.e., nondepository mortgage lending)"
"522292","Mortgage companies"
"522293","Agreement corporations (i.e., international trade financing)"
"522293","Edge Act corporations (i.e., international trade financing)"
"522293","Export-Import banks"
"522293","Trade banks (i.e., international trade financing)"
"522294","Federal Home Loan Mortgage Corporation (FHLMC)"
"522294","Federal National Mortgage Association (FNMA)"
"522294","Government National Mortgage Association (GNMA)"
"522294","Student Loan Marketing Association (SLMA)"
"522298","Commodity Credit Corporation"
"522298","Factoring accounts receivable"
"522298","Industrial banks (i.e., known as), nondepository"
"522298","Morris Plans (i.e., known as), nondepository"
"522298","Pawnshops"
"522320","Automated clearinghouses, bank or check (except central bank)"
"522320","Credit card processing services"
"522320","Electronic funds transfer services"
"522320","Check clearing services (except central bank)"
"522390","Check cashing services"
"522390","Loan servicing"
"522390","Money order issuance services"
"522390","Money transmission services"
"522390","Payday lending services"
"522390","Travelers' check issuance services"
"523110","Bond dealing (i.e., acting as a principal in dealing securities to investors)"
"523110","Securities underwriting"
"523110","Stock option dealing"
"523120","Mutual fund agencies (i.e., brokerages)"
"523120","Securities brokerages"
"523120","Stock brokerages"
"523140","Commodity contracts brokerages"
"523140","Commodity futures brokerages"
"523140","Financial futures brokerages"
"523910","Investment clubs"
"523910","Mineral royalties or leases dealing (i.e., acting as a principal in dealing royalties or leases to investors)"
"523910","Tax liens dealing (i.e., acting as a principal in dealing tax liens to investors)"
"523910","Venture capital companies"
"523920","Managing trusts"
"523920","Mutual fund managing"
"523920","Pension fund managing"
"523920","Portfolio fund managing"
"523930","Financial investment advice services, customized, fees paid by client"
"523930","Financial planning services, customized, fees paid by client"
"523930","Investment advisory services, customized, fees paid by client"
"52399","Bank trust offices"
"52399","Escrow agencies (except real estate)"
"52399","Fiduciary agencies (except real estate)"
"52399","Stock quotation services"
"523999","Exchange clearinghouses, commodities or securities"
"523999","Gas lease brokers' offices"
"523999","Stock quotation services"
"52412","Automobile insurance carriers, direct"
"52412","Bank deposit insurance carriers, direct"
"52412","Mortgage guaranty insurance carriers, direct"
"52412","Property and casualty insurance carriers, direct"
"52412","Title insurance carriers, real estate, direct"
"52412","Warranty insurance carriers (e.g., appliance, automobile, homeowners, product), direct"
"524126","Automobile insurance carriers, direct"
"524126","Fidelity insurance carriers, direct"
"524126","Liability insurance carriers, direct"
"524126","Malpractice insurance carriers, direct"
"524126","Mortgage guaranty insurance carriers, direct"
"524126","Surety insurance carriers, direct"
"524126","Homeowners insurance carriers, direct"
"524128","Bank deposit insurance carriers, direct"
"524128","Deposit or share insurance carriers, direct"
"524128","Product warranty insurance carriers, direct"
"524128","Warranty insurance carriers (e.g., appliance, automobile, homeowners, product), direct"
"52429","Claims adjusting"
"52429","Insurance plan administrative services"
"52429","Insurance adjusting"
"525110","Employee benefit plans"
"525110","Retirement plans"
"525110","Pension funds and plans"
"525910","Investment funds, open-ended"
"525910","Money market mutual funds, open-ended"
"525920","Bankruptcy estates"
"525920","Personal investment trusts"
"525920","Private estates (i.e., administering on behalf of beneficiaries)"
"525920","Testamentary trusts"
"525990","Closed-end investment funds"
"525990","Collateralized Mortgage Obligations (CMOs)"
"525990","Face-amount certificate funds"
"525990","Mortgage real estate investment trusts (REITs)"
"525990","Real Estate Mortgage Investment Conduits (REMICs)"
"525990","Unit investment trust funds"
"525990","Special purpose vehicles"
"531390","Real estate escrow agencies"
"531390","Real estate fiduciaries' offices"
"531390","Real estate listing services"
"53228","Costume rental"
"53228","Formal wear rental"
"53228","Furniture (i.e., residential) rental centers"
"53228","Hospital bed rental and leasing (i.e., home use)"
"53228","Party rental supply centers"
"53228","Sporting goods rental"
"53228","Video disc rental for home electronic equipment (e.g., DVD)"
"53229","Party rental supply centers"
"53229","Sporting goods rental"
"53229","Furniture rental centers"
"54119","Notary public services"
"54119","Paralegal services"
"54119","Patent agent services (i.e., patent filing and searching services)"
"54119","Process serving services"
"54119","Real estate settlement offices"
"54119","Real estate title abstract companies"
"541199","Notary public services"
"541199","Paralegal services"
"541199","Patent agent services (i.e., patent filing and searching services)"
"541199","Process serving services"
"54121","Bookkeeping services"
"54121","Payroll processing services"
"54121","Tax return preparation services"
"54121","Accountants' offices"
"541320","Garden planning services"
"541320","Industrial land use planning services"
"541320","Landscape architects' offices"
"541320","Landscape consulting services"
"541320","Landscape design services"
"541320","Golf course or ski area design services"
"541330","Civil engineering services"
"541330","Construction engineering services"
"541330","Engineers' offices"
"541330","Environmental engineering services"
"541330","Mechanical engineering services"
"541370","Cadastral surveying services"
"541370","Cartographic surveying services"
"541370","Geodetic surveying services"
"541370","Mapping (except geophysical) services"
"541370","Topographic surveying services"
"541430","Corporate identification (i.e., logo) design services"
"541430","Commercial art studios"
"541430","Independent commercial or graphic artists"
"541430","Medical art or illustration services"
"541430","Graphic design consulting services"
"541490","Costume design services (except independent theatrical costume designers)"
"541490","Fashion design services"
"541490","Float design services"
"541490","Fur design services"
"541490","Jewelry design services"
"541490","Shoe design services"
"541490","Textile design services"
"54151","Computer facilities management services"
"54151","Custom computer programming services"
"54151","Computer hardware or software consulting services"
"54151","Software installation services"
"54151","Computer systems integration design services"
"541512","Computer systems integration design consulting services"
"541512","Information management computer systems integration design services"
"541512","Local area network (LAN) computer systems integration design services"
"541512","Office automation computer systems integration design services"
"54161","Marketing consulting services"
"54161","Actuarial, benefit, and compensation consulting services"
"54161","Administrative and general management consulting services"
"54161","Process, physical distribution, and logistics consulting services"
"54161","Human resources consulting services"
"541611","Administrative management consulting services"
"541611","General management consulting services"
"541611","Site selection consulting services"
"541611","Strategic planning consulting services"
"541611","Financial management (except investment advice) consulting services"
"541612","Employee assessment consulting services"
"541612","Personnel management consulting services"
"541612","Benefit or compensation consulting services"
"541612","Human resources consulting services"
"541613","Marketing management consulting services"
"541613","New product development consulting services"
"541613","Sales management consulting services"
"541613","Customer services management consulting services"
"541614","Inventory planning and control management consulting services"
"541614","Manufacturing management consulting services"
"541614","Productivity improvement consulting services"
"541614","Transportation management consulting services"
"541614","Freight rate or tariff rate consulting services"
"541690","Agricultural consulting services"
"541690","Biological consulting services"
"541690","Chemical consulting services"
"541690","Economic consulting services"
"541690","Energy consulting services"
"541690","Motion picture consulting services"
"541690","Physics consulting services"
"541690","Radio consulting services"
"541690","Safety consulting services"
"541690","Security consulting services"
"541714","Cloning research and experimental development laboratories "
"541714","DNA technologies (e.g., microarrays) research and experimental development laboratories"
"541714","Nucleic acid chemistry research and experimental development laboratories"
"541714","Protein engineering research and experimental development laboratories"
"541714","Recombinant DNA research and experimental development laboratories"
"541840","Newspaper advertising representatives (i.e., independent of media owners)"
"541840","Publishers' advertising representatives (i.e., independent of media owners)"
"541840","Radio advertising representatives (i.e., independent of media owners)"
"541840","Television advertising representatives (i.e., independent of media owners)"
"541890","Display lettering services"
"541890","Mannequin decorating services"
"541890","Sign lettering and painting services"
"541890","Welcoming services (i.e., advertising services)"
"541890","Advertising specialties (e.g., key chains, magnets, pens) distribution services (except direct mail)"
"541890","Store window dressing or trimming services"
"541890","Merchandise demonstration services"
"541910","Broadcast media rating services"
"541910","Opinion research services"
"541910","Political opinion polling services"
"541910","Marketing analysis or research services"
"541910","Statistical sampling services"
"541921","Passport photography services"
"541921","Home photography services"
"541921","School photography services"
"541921","Videotaping services for special events (e.g., weddings)"
"541940","Animal hospitals"
"541940","Veterinarians' offices"
"541940","Veterinary clinics"
"541940","Veterinary testing laboratories"
"541990","Appraisal (except real estate) services"
"541990","Consumer credit counseling services"
"541990","Handwriting analysis services"
"541990","Patent broker services (i.e., patent marketing services)"
"541990","Weather forecasting services"
"541990","Marine surveyor (i.e., appraiser) services"
"541990","Arbitration and conciliation services (except by lawyer, attorney, or paralegal offices)"
"541990","Commodity inspector services"
"541990","Pipeline or power line inspection (i.e., visual) services"
"551114","Centralized administrative offices"
"551114","Corporate offices"
"551114","District and regional offices"
"551114","Head offices"
"551114","Holding companies that manage"
"551114","Subsidiary management offices"
"56131","Employment agencies"
"56131","Executive placement services"
"56131","Executive search services"
"561311","Babysitting bureaus (i.e., registries)"
"561311","Employment agencies"
"561311","Employment registries"
"561311","Model registries"
"561311","Casting agencies or bureaus (i.e., motion picture, theatrical, video)"
"561312","Executive placement services"
"561312","Executive search services"
"561312","Senior executive search services"
"561320","Help supply services"
"561320","Labor (except farm) contractors (i.e., personnel suppliers)"
"561320","Manpower pools"
"561320","Model supply services"
"561320","Temporary employment or temporary staffing services"
"561440","Tax collection services on a contract or fee basis"
"561440","Account or delinquent account collection services"
"561440","Bill or debt collection services"
"561450","Credit agencies"
"561450","Credit investigation services"
"561450","Credit rating services"
"561450","Credit reporting bureaus"
"56149","Address bar coding services"
"56149","Bar code imprinting services"
"56149","Court reporting services"
"56149","Mail presorting services"
"56149","Repossession services"
"56149","Real-time (i.e., simultaneous) closed captioning of live television performances, meetings, conferences"
"56149","Fundraising organization services on a contract or fee basis"
"561492","Public stenography services"
"561492","Court reporting or stenotype recording services"
"561492","Real-time (i.e., simultaneous) closed captioning of live television performances, meetings, conferences"
"561499","Address bar coding services"
"561499","Bar code imprinting services"
"561499","Mail presorting services"
"561499","Fundraising organization services on a contract or fee basis"
"56159","Reservation (e.g., airline, car rental, hotel, restaurant) services"
"56159","Ticket (e.g., airline, bus, cruise ship, sports, theatrical) offices"
"56159","Ticket (e.g., amusement, sports, theatrical) agencies"
"56159","Condominium time-share exchange services"
"56159","Road and travel services automobile clubs"
"56159","Convention or visitors bureaus"
"561599","Reservation (e.g., airline, car rental, hotel, restaurant) services"
"561599","Ticket (e.g., airline, bus, cruise ship, sports, theatrical) offices"
"561599","Ticket (e.g., amusement, sports, theatrical) agencies"
"561599","Condominium time-share exchange services"
"561599","Road and travel services automobile clubs"
"56161","Armored car services"
"56161","Polygraph services"
"56161","Private detective services"
"56161","Security guard services"
"56161","Bodyguard services"
"561611","Polygraph services"
"561611","Private detective services"
"561611","Fingerprinting services"
"561611","Private investigative services"
"561720","Custodial services"
"561720","Service station cleaning and degreasing services"
